Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,14.3,2.67692,Denial of Service,System,03:36:03.280
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,28.6,2.69572,Denial of Service,System,03:36:04.503
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,37.5,2.67116,Denial of Service,System,03:36:05.732
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,28.6,2.68702,Denial of Service,System,03:36:06.956
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,28.6,2.67817,Denial of Service,System,03:36:08.184
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,37.5,2.67867,Denial of Service,System,03:36:09.413
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,28.6,2.68042,Denial of Service,System,03:36:10.640
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,16.7,2.68182,Denial of Service,System,03:36:11.864
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,42.9,2.66476,Denial of Service,System,03:36:13.084
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,28.6,2.67967,Denial of Service,System,03:36:14.305
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,28.6,2.68142,Denial of Service,System,03:36:15.527
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,47.2,42.9,2.71113,Denial of Service,System,03:36:16.752
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,37.5,2.65571,Denial of Service,System,03:36:17.979
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.7,37.5,2.67827,Denial of Service,System,03:36:19.208
