Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,6.07,Denial of Service,ACS712,1.214,1214
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.3100000000000005,Denial of Service,ACS712,1.062,1062
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,6.364999999999999,Denial of Service,ACS712,1.273,1273
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.8600000000000003,Denial of Service,ACS712,0.772,772
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.21,Denial of Service,ACS712,1.042,1042
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.29,Denial of Service,ACS712,0.858,858
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.6850000000000005,Denial of Service,ACS712,0.937,937
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.015,Denial of Service,ACS712,1.003,1003
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.9250000000000003,Denial of Service,ACS712,0.785,785
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.345,Denial of Service,ACS712,1.069,1069
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.675,Denial of Service,ACS712,1.135,1135
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,2.175,Denial of Service,ACS712,0.435,435
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,2.8699999999999997,Denial of Service,ACS712,0.574,574
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.3100000000000005,Denial of Service,ACS712,1.062,1062
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.244999999999999,Denial of Service,ACS712,1.049,1049
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.76,Denial of Service,ACS712,0.752,752
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.3100000000000005,Denial of Service,ACS712,1.062,1062
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.85,Denial of Service,ACS712,0.97,970
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.65,Denial of Service,ACS712,0.93,930
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.89,Denial of Service,ACS712,0.778,778
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,2.9699999999999998,Denial of Service,ACS712,0.594,594
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.1,Denial of Service,ACS712,0.62,620
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,5.18,Denial of Service,ACS712,1.036,1036
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,2.9699999999999998,Denial of Service,ACS712,0.594,594
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,4.75,Denial of Service,ACS712,0.95,950
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.135,Denial of Service,ACS712,0.627,627
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,3.66,Denial of Service,ACS712,0.732,732
